Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-GA,GA-3,308700,278250,22229750,544225,2076300,7161000,2077500,93105000,1203500,1326900,2943750,241450
US,US-GA,GA-4,371400,334050,26782250,653375,2492100,8593000,2494500,111510000,1444000,1590525,3527250,289950
US,US-GA,GA-5,1367200,1234300,97876250,2413975,9194500,31451000,9218000,411810000,5303900,5880600,13044000,1062400
US,US-GA,GA-6,1247000,1114050,90250000,2178950,8305500,28703000,8316500,369547500,4818700,5282325,11715750,971000
US,US-GA,GA-7,560400,503150,40576750,984050,3755800,12999000,3756000,167977500,2181100,2393175,5301750,438200
US,US-GA,GA-8,217200,195600,15622500,382550,1459000,5026000,1460500,65355000,844900,932100,2067750,169550
US,US-GA,GA-9,318500,286850,22979000,561025,2141400,7396000,2141500,96030000,1242000,1367925,3033750,249300
US,US-HI,HI-1,276400,247500,19909500,484075,1845500,6394000,1848000,82282500,1071100,1177050,2616000,216350
US,US-HI,HI-2,236100,211850,16994750,414375,1580200,5471000,1582000,70590000,917100,1008900,2241750,184950
US,US-IA,IA-1,2283000,2054400,163310750,4018150,15288900,52555000,15345000,683197500,8823400,9785700,21741750,1772300
US,US-IA,IA-2,2009200,1810450,143422000,3540975,13469800,46274000,13523500,602400000,7772400,8629725,19185750,1561900
US,US-IA,IA-3,2682700,2412750,191705500,4719025,17951500,61685000,18021500,801615000,10356400,11488125,25548000,2083500
US,US-IA,IA-4,1540700,1386250,110215000,2711250,10317300,35442000,10354500,460822500,5950800,6602475,14661000,1194500
US,US-ID,ID-1,304500,273950,21927750,535850,2044600,7076000,2045500,91567500,1187200,1306650,2901000,238900
US,US-ID,ID-2,303800,273050,21834000,534100,2036500,7039000,2039000,91035000,1181100,1301325,2889000,237950
US,US-IL,IL-1,340800,306550,24467500,599550,2285700,7857000,2289000,102202500,1321200,1461000,3242250,265600
US,US-IL,IL-10,336400,302550,24187750,591700,2256100,7761000,2259000,100905000,1305000,1441425,3198750,262300
US,US-IL,IL-11,368500,330700,26519250,646825,2466100,8484000,2469500,110130000,1426000,1573725,3493500,287050
US,US-IL,IL-12,484200,430200,34996500,841450,3203700,11052000,3211500,141922500,1854200,2033550,4517250,375500
US,US-IL,IL-13,387600,345650,27935500,676050,2574400,8878000,2580500,114210000,1489900,1637325,3635250,300750
US,US-IL,IL-14,772200,688500,55780750,1346650,5128700,17690000,5140500,227437500,2966200,3260775,7241250,599150
US,US-IL,IL-15,278100,249400,20001000,487800,1859000,6403000,1862500,82890000,1075800,1185900,2632500,216650
US,US-IL,IL-16,330200,296550,23723750,580000,2210800,7607000,2214500,98752500,1278700,1411575,3132750,257150
US,US-IL,IL-17,255900,230200,18360250,450200,1715900,5902000,1719000,76740000,992200,1096875,2433750,199300
US,US-IL,IL-18,247300,222100,17770000,434400,1656000,5702000,1658500,74017500,958300,1057350,2347500,192700
US,US-IL,IL-2,421500,378500,30225250,740325,2822000,9708000,2826500,126097500,1632000,1802550,4000500,328400
US,US-IL,IL-3,534400,481450,38425750,941675,3592500,12336000,3595500,160935000,2075800,2297100,5097750,416700
US,US-IL,IL-4,512100,462100,36689250,903800,3443900,11772000,3451500,154320000,1985200,2203275,4883250,397350
US,US-IL,IL-5,581100,522450,41748000,1021800,3896500,13399000,3901500,174187500,2252700,2490450,5528250,453150
US,US-IL,IL-6,583000,516750,42073000,1010675,3847200,13290000,3857000,170145000,2227400,2438925,5421750,451950
US,US-IL,IL-7,1142400,1026950,82037500,2008550,7659500,26292000,7669000,342225000,4425400,4895475,10856250,888400
US,US-IL,IL-8,602500,539800,43372750,1055825,4025700,13856000,4031000,179587500,2328100,2567550,5703000,469300
US,US-IL,IL-9,621900,559500,44674250,1094275,4172600,14355000,4178000,186637500,2413500,2667450,5922000,485300
US,US-IN,IN-1,486400,428600,35163000,838325,3189700,11062000,3198500,140580000,1850300,2017200,4487250,377150
US,US-IN,IN-2,567200,498750,40933750,975450,3708600,12853000,3721500,163020000,2149700,2343975,5217750,439000
US,US-IN,IN-3,586200,515150,42386000,1007575,3831300,13287000,3844000,168352500,2221400,2419050,5383500,453550
